protein_a	protein_b	involves_dark	genetic_assays
Q08162	Q12460	0	Negative Genetic
Q08162	Q12277	0	Negative Genetic
Q08162	Q12149	0	Dosage Rescue;Phenotypic Enhancement;Synthetic Growth Defect;Synthetic Lethality
Q08096	Q99207	0	Negative Genetic
Q08032	Q12488	0	Negative Genetic
Q08032	Q08496	0	Negative Genetic
Q08032	Q08457	0	Dosage Growth Defect;Dosage Rescue
Q08004	Q99257	0	Synthetic Lethality
Q08004	Q12024	0	Negative Genetic
Q07953	Q12522	0	Negative Genetic;Synthetic Rescue
Q07930	Q99181	0	Negative Genetic
Q07930	Q6Q546	0	Synthetic Growth Defect
Q07930	Q12417	0	Negative Genetic
Q07930	Q12309	0	Negative Genetic
Q07930	Q08963	0	Negative Genetic
Q07915	Q12522	0	Negative Genetic
Q07915	Q12460	0	Negative Genetic
Q07915	Q12213	0	Negative Genetic
Q07915	Q12153	0	Negative Genetic
Q07915	Q12149	0	Negative Genetic
Q07915	Q12024	0	Negative Genetic
Q07915	Q08962	0	Negative Genetic
Q07915	Q08235	0	Negative Genetic
Q07915	Q08208	0	Negative Genetic
Q07913	Q12749	0	Negative Genetic
Q07913	Q08204	0	Negative Genetic
Q07897	Q12460	0	Negative Genetic
Q07897	Q08965	0	Negative Genetic
Q07897	Q08096	0	Synthetic Rescue
Q07896	Q12460	0	Negative Genetic
Q07896	Q12024	0	Negative Genetic
Q07896	Q08962	0	Negative Genetic
Q07844	Q08962	0	Synthetic Growth Defect
Q07817	Q92843	0	Negative Genetic
Q07817	Q14790	0	Phenotypic Suppression
Q07812	Q16611	0	Negative Genetic
Q07812	Q07817	0	Dosage Rescue
Q07794	Q12692	0	Negative Genetic;Synthetic Growth Defect
Q07794	Q08032	0	Synthetic Lethality
Q07623	Q12460	0	Negative Genetic
Q07623	Q12247	0	Negative Genetic
Q07623	Q12220	0	Negative Genetic
Q07623	Q12035	0	Negative Genetic
Q07623	Q08965	0	Negative Genetic
Q07623	Q08492	0	Negative Genetic
Q07623	Q07897	0	Negative Genetic
Q07560	Q92328	0	Negative Genetic;Synthetic Growth Defect;Synthetic Lethality
Q07540	Q12056	0	Synthetic Rescue
Q07508	Q99181	0	Negative Genetic
Q07508	Q12330	0	Negative Genetic
Q07508	Q08920	0	Negative Genetic;Synthetic Lethality
Q07478	Q99257	0	Dosage Growth Defect;Negative Genetic
Q07478	Q6WNK7	0	Dosage Growth Defect;Negative Genetic;Synthetic Lethality
Q07478	Q12315	0	Dosage Growth Defect
Q07478	Q12159	0	Dosage Growth Defect;Dosage Rescue;Negative Genetic
Q07478	Q12149	0	Dosage Growth Defect;Negative Genetic;Synthetic Growth Defect;Synthetic Lethality;Synthetic Rescue
Q07478	Q12104	0	Synthetic Lethality
Q07468	Q99260	0	Negative Genetic;Synthetic Growth Defect
Q07468	Q92328	0	Negative Genetic;Synthetic Lethality
Q07468	Q12106	0	Dosage Rescue;Phenotypic Suppression
Q07457	Q12692	0	Negative Genetic;Synthetic Growth Defect;Synthetic Lethality
Q07457	Q12509	0	Negative Genetic;Synthetic Growth Defect;Synthetic Lethality
Q07407	Q09147	0	Phenotypic Suppression
Q07381	Q08208	0	Negative Genetic
Q07350	Q99181	0	Negative Genetic
Q07350	Q12330	0	Negative Genetic
Q07350	Q12309	0	Negative Genetic
Q07350	Q08963	0	Negative Genetic
Q07350	Q07930	0	Negative Genetic
Q06835	Q99181	0	Negative Genetic
Q06835	Q6Q546	0	Negative Genetic
Q06835	Q12417	0	Negative Genetic
Q06835	Q12368	0	Negative Genetic
Q06835	Q12330	0	Negative Genetic
Q06835	Q12309	0	Negative Genetic;Synthetic Growth Defect
Q06835	Q12046	0	Negative Genetic
Q06835	Q07930	0	Negative Genetic
Q06835	Q07508	0	Negative Genetic
Q06835	Q07350	0	Negative Genetic
Q06704	Q99260	0	Dosage Rescue;Phenotypic Enhancement;Synthetic Growth Defect;Synthetic Lethality
Q06697	Q12692	0	Negative Genetic;Synthetic Growth Defect;Synthetic Lethality
Q06697	Q08496	0	Synthetic Growth Defect;Synthetic Lethality
Q06697	Q07457	0	Positive Genetic
Q06679	Q12024	0	Negative Genetic
Q06679	Q08492	0	Positive Genetic
Q06675	Q12143	0	Negative Genetic
Q06675	Q12045	0	Negative Genetic
Q06672	Q12055	0	Dosage Rescue
Q06672	Q08235	0	Positive Genetic
Q06672	Q07915	0	Positive Genetic
Q06671	Q12380	0	Positive Genetic
Q06671	Q07879	0	Positive Genetic
Q06667	Q12315	0	Negative Genetic;Synthetic Growth Defect;Synthetic Lethality
Q06667	Q06685	0	Positive Genetic
Q06639	Q9URQ5	0	Dosage Rescue;Synthetic Lethality
Q06639	Q12406	0	Negative Genetic
Q06636	Q07830	0	Negative Genetic
Q06632	Q12102	0	Negative Genetic
Q06632	Q08685	0	Negative Genetic
Q06624	Q12306	0	Negative Genetic
Q06623	Q06629	0	Positive Genetic
Q06597	Q06598	0	Phenotypic Enhancement
Q06567	Q92328	0	Dosage Rescue;Negative Genetic;Synthetic Growth Defect
Q06543	Q08726	0	Dosage Rescue;Negative Genetic
Q06525	Q6Q546	0	Negative Genetic;Synthetic Growth Defect
Q06525	Q12309	0	Negative Genetic
Q06525	Q08963	0	Negative Genetic
Q06525	Q07930	0	Negative Genetic;Synthetic Growth Defect
Q06512	Q12149	0	Positive Genetic
Q06512	Q07623	0	Synthetic Rescue
Q06506	Q12460	0	Negative Genetic
Q06506	Q08492	0	Negative Genetic
Q06505	Q06697	0	Negative Genetic
Q06504	Q12387	0	Phenotypic Enhancement
Q06440	Q12156	0	Phenotypic Enhancement;Synthetic Growth Defect
Q06410	Q06671	0	Positive Genetic
Q06406	Q12517	0	Negative Genetic
Q06406	Q12309	0	Negative Genetic
Q06406	Q12096	0	Negative Genetic
Q06406	Q08963	0	Negative Genetic
Q06406	Q07930	0	Negative Genetic
Q06406	Q06835	0	Negative Genetic
